Sample	Run	RunID	Assembly
m1075	NextSeq	ERR4998587	upland
m11204	NovaSeq	ERR4998589	upland
m11204	NextSeq	ERR4998588	upland
m11211	NextSeq	ERR4998590	upland
m11213	NextSeq	ERR4998591	upland
m11216	NovaSeq	ERR4998593	upland
m11216	NextSeq	ERR4998592	upland
m11221	NextSeq	ERR4998594	upland
m115	NovaSeq	ERR4998596	upland
m115	NextSeq	ERR4998595	upland
m1159	NextSeq	ERR4998597	upland
m12205	NovaSeq	ERR4998598	fen
m12206	NovaSeq	ERR4998599	fen
m12208	NovaSeq	ERR4998600	fen
m12209	NovaSeq	ERR4998601	fen
m12211	NovaSeq	ERR4998602	fen
m12214	NovaSeq	ERR4998603	fen
m187	NovaSeq	ERR4998605	upland
m187	NextSeq	ERR4998604	upland
m247	NextSeq	ERR4998606	upland
m25	NovaSeq	ERR4998608	upland
m25	NextSeq	ERR4998607	upland
m265	NextSeq	ERR4998609	upland
m37	NovaSeq	ERR4998611	upland
m37	NextSeq	ERR4998610	upland
m403	NextSeq	ERR4998612	upland
m481	NextSeq	ERR4998613	upland
m517	NovaSeq	ERR4998615	upland
m517	NextSeq	ERR4998614	upland
m577	NextSeq	ERR4998616	upland
m667	NextSeq	ERR4998617	upland
m823	NovaSeq	ERR4998619	upland
m823	NextSeq	ERR4998618	upland
m835	NextSeq	ERR4998620	upland
m967	NovaSeq	ERR4998622	upland
m967	NextSeq	ERR4998621	upland
m97	NextSeq	ERR4998623	upland
o1075	NextSeq	ERR4998624	upland
o11205	NextSeq	ERR4998625	upland
o11213	NextSeq	ERR4998626	upland
o11216	NextSeq	ERR4998627	upland
o11221	NextSeq	ERR4998628	upland
o115	NovaSeq	ERR4998630	upland
o115	NextSeq	ERR4998629	upland
o1159	NovaSeq	ERR4998632	upland
o1159	NextSeq	ERR4998631	upland
o12204	NovaSeq	ERR4998633	fen
o12205	NovaSeq	ERR4998634	fen
o12206	NovaSeq	ERR4998635	fen
o12207	NovaSeq	ERR4998636	fen
o12208	NovaSeq	ERR4998637	fen
o12209	NovaSeq	ERR4998638	fen
o12210	NovaSeq	ERR4998639	fen
o12211	NovaSeq	ERR4998640	fen
o12212	NovaSeq	ERR4998641	fen
o12214	NovaSeq	ERR4998642	fen
o12215	NovaSeq	ERR4998643	fen
o12216	NovaSeq	ERR4998644	fen
o12217	NovaSeq	ERR4998645	fen
o12218	NovaSeq	ERR4998646	fen
o12220	NovaSeq	ERR4998647	fen
o12221	NovaSeq	ERR4998648	fen
o187	NextSeq	ERR4998649	upland
o247	NovaSeq	ERR4998651	upland
o247	NextSeq	ERR4998650	upland
o25	NextSeq	ERR4998652	upland
o265	NovaSeq	ERR4998654	upland
o265	NextSeq	ERR4998653	upland
o277	NextSeq	ERR4998655	upland
o37	NovaSeq	ERR4998657	upland
o37	NextSeq	ERR4998656	upland
o403	NextSeq	ERR4998658	upland
o427	NovaSeq	ERR4998660	upland
o427	NextSeq	ERR4998659	upland
o481	NextSeq	ERR4998661	upland
o517	NovaSeq	ERR4998663	upland
o517	NextSeq	ERR4998662	upland
o577	NovaSeq	ERR4998665	upland
o577	NextSeq	ERR4998664	upland
o667	NextSeq	ERR4998666	upland
o811	NextSeq	ERR4998667	upland
o823	NovaSeq	ERR4998669	upland
o823	NextSeq	ERR4998668	upland
o835	NextSeq	ERR4998670	upland
o961	NextSeq	ERR4998671	upland
o967	NovaSeq	ERR4998673	upland
o967	NextSeq	ERR4998672	upland
o97	NextSeq	ERR4998674	upland
